,short_file_name,LI_3WD_Items
0,01,[]
1,02,[]
2,03,"[['Cognitive Knowledge or Mental Skills', 'Affective Attitude or Emotions', 'Psychomotor Skills or Physical Skills']]"
3,04,[]
4,05,"[['Clinical Psychologists are “interested in the diagnosis, causes, and treatment of mental disorders (such as depression, personality disorders, or schizophrenia).”', 'Counseling Psychologists are “interested in the treatment of mental disorders.\xa0 The main difference between [clinical and counseling psychologists] is that Counseling Psychologists are concerned primarily with ‘normal’ problems of adjustment or challenge, such as choosing a career, experiencing academic stress, or coping with marital problems.”', 'School Psychologists are “interested in the emotional or learning problems of students.”\xa0 School Psychologists often engage in psychoeducational testing to diagnose learning disorders and develop educational interventions to assist schools and teachers to help students learn.']]"
5,06,"[['The basic science of psychology, whose proper subject matter is “mental behavior” which translates into the behavior of the animal as a whole and includes thinking and feeling as well as acting;', 'Human psychology, whose proper subject matter is human behavior at the individual level and includes a particular focus on the human mind and human self-consciousness', 'Professional psychology, which involves the application of psychological knowledge for human betterment.'], ['Members', 'Login', 'Sign Up'], ['Passive Aggression\n', 'Personality\n', 'Shyness\n'], ['Low Sexual Desire\n', 'Relationships\n', 'Sex\n']]"
6,07,"[['Self-awareness (Inner Focus): This involves an emotional self-control in the form of recovering from stress quickly and managing distressing feelings, adaptability as circumstances change, and keeping an undistracted focus on goals.', 'Empathy (Other Focus): This focus provides the foundation for interpersonal leadership competencies like motivating others and working in collaboration.', 'Systems awareness (Outer Focus): This helps individuals monitor competitive threats with a focus that allows the formulation of smart strategies to overcome the competition.']]"
7,08,[]
8,09,[]
9,10,[]
10,12,[]
11,13,"[['Strong personal relationships', 'Standard of living (financial control)', 'Achieving in life (sense of purpose).'], ['The “golden triangle of happiness” refers to the three core areas that support our wellbeing: strong personal relationships, standard of living (financial control) and achieving in life (sense of purpose).', 'If we’re looking to boost our wellbeing, it’s likely to be most effective to work on one of these three areas.', 'Other factors such as health and personal safety are also important in terms of our overall wellbeing, but these three elements are particularly dominant.']]"
12,14,[]
13,15,[]
14,16,[]
15,17,[]
16,18,[]
17,19,"[['Cognitive component;', 'Affective component; and', 'Behavioural component.']]"
18,20,[]
19,21,[]
20,22,[]
21,23,"[['Selective attention:', 'Sustained attention', 'Divided attention'], ['Concentration: is focusing on specific things or objects while excluding others for a moment.', 'Alertness: refers to the ‘readiness of an individual’ to deal with the stimuli that appear before him/her. \xa0', 'Search: in search we look for a specific thing, object or person among a group of things, objects or people. For example when you go to buy apple in a market, you look for one specific thing in a whole array of things.'], ['It occurs without intention', 'It takes place unconsciously', 'It involves little or no thought processes']]"
22,24,[]
23,25,"[['Dysfunction', 'Distress', 'Deviance']]"
24,26,"[['positive experiences', 'positive traits', 'positive social institutions']]"
25,27,[]
26,28,[]
