,short_file_name,3WD_Items
0,01,"[{'three types of memory processes': ['sensory register', 'short-term memory', 'long-term memory']}]"
1,02,"[{'three forces': ['Mind', 'Body&Soul']}, {'three forces': ['Mind', 'Body&Soul']}, {'': ['literature', 'art', 'science']}, {'three major movements in the field': ['Psychoanalysis', 'Behaviorism', 'Humanistic Psychology']}, {'': ['learning', 'motivation', 'cognition']}, {'three major psychological movements ': ['psychodynamic theory', 'behaviorism', 'humanistic psychology']}]"
2,03,[]
3,04,"[{'three traits': ['control', 'commitment', 'challenge']}]"
4,05,"[{'three subfields of professional psychology': ['Clinical Psychology', 'Counseling Psychology', 'School Psychology']}]"
5,06,"[{'three icons': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}, {'three great paradigms in american psychology': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}, {'three great branches of the discipline': ['behaviorism', 'psychoanalysis', 'humanistic psychology']}]"
6,07,"[{'': ['Burnout', 'Injuries', 'Retirement']}]"
7,08,[]
8,09,"[{'the triangle of intrapsychic conflict': ['wish', 'fear', 'defense']}]"
9,10,"[{'the cognitive triangle': ['You wake up feeling tired', 'groggy', 'insecure']}]"
10,12,"[{'look at the triangle': ['feeling', 'anxiety', 'defense']}]"
11,13,[]
12,14,[]
13,15,"[{'': ['Biological', 'Social', 'Personal']}, {'': ['Biological', 'Social', 'Personal']}, {'three types': ['Biological motives', 'social motives', 'personal motives!']}, {'': ['example', 'Horse', 'water']}, {'': ['Motivation', 'Emotion', 'Attitudinal']}, {'': ['Working', 'Types', 'Characteristics']}]"
14,16,"[{'': ['id', 'ego', 'superego']}]"
15,17,[]
16,18,"[{'three basic forms of learning': ['classical conditioning', 'operant conditioning', 'observational learning']}]"
17,19,"[{'': ['person', 'object', 'situation']}, {'': ['object', 'person', 'situation']}, {'': ['person', 'object', 'situation']}, {'three components': ['cognition', 'affect', 'behaviour–']}]"
18,20,"[{'three elements': ['describing', 'explaining', 'understanding concepts from a standpoint of empirical investigation']}]"
19,21,"[{'three ‘ ‘': ['psychological social psychology', 'sociological social psychology', 'symbolic interactionism']}]"
20,22,[]
21,23,"[{'': ['size', 'intensity', 'motion']}, {'': ['attitude', 'interest', 'preparatory']}]"
22,24,[]
23,25,"[{'': ['student', 'caregiver', 'parent']}]"
24,26,[]
25,27,"[{'three legged stool': ['Work', 'Love', 'Friendship']}, {'three legged stool': ['Work', 'Love', 'Friendship']}, {'three ': ['work', 'love', 'friendship']}]"
26,28,"[{'three primary selves': ['the child self', 'the defender', 'the adult self']}, {'three selves': ['It’s the most helpless', 'under-resourced', 'easily threatened of our three selves']}]"
27,29,"[{'three paths': ['most ambitious', 'most cautious', 'a middle way']}]"
28,30,[]
29,31,"[{'three stages': ['encoding', 'storage', 'retrieval']}]"
30,32,"[{'three traits': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'dark triad': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'three distinct': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'key pointsthe dark triad personality traits': ['narcissism', 'psychopathy', 'Machiavellianism']}, {'three horizons': ['SkillsNegotiation', 'Persuasion', 'InfluencePresentation']}, {'three horizons': ['SkillsNegotiation', 'Persuasion', 'InfluencePresentation']}]"
31,33,[]
32,34,[]
33,35,"[{'three parts of': ['conative', 'affective', 'cognitive']}]"
34,36,[]
35,37,"[{'three main approaches in cognitive psychology': ['experimental cognitive psychology', 'computational cognitive psychology', 'neural cognitive psychology']}, {'': ['e.g.', 'Lu&Sperling']}, {'': ['Bechara', 'Damasio', 'Damasio']}, {'': ['Johnson-Laird', 'Byne', 'Schaeken']}, {'': ['Thorne', 'Bratley&Dewar']}]"
36,38,"[{'three brains': ['the head', 'the gut', 'the heart']}]"
37,39,"[{'three aspects': ['the study of the feelings', 'behaviors', 'thoughts of individuals in the social situation']}]"
38,40,"[{'': ['narcissism', 'Machiavellianism', 'psychopathy']}, {'': ['generosity', 'altruism', 'empathy']}, {'three positive traits': ['Kantianism', 'Humanism', 'Faith']}]"
39,41,"[{'three fundamental needs': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needs autonomy': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needsbasic psychological needs': ['autonomy', 'competence', 'relatedness']}, {'three needs in': ['autonomy', 'competence', 'relatedness']}, {'three basic psychological needs autonomy': ['autonomy', 'competence', 'relatedness']}, {'three fundamental psychological needs': ['autonomy', 'competence', 'relatedness']}, {'': ['scale', 'Decietal']}, {'three needs in': ['behavi', '', 'absenteeism', 'task']}, {'three basic psychological needs': ['behavi', '', 'absenteeism', 'task']}, {'three needs because each': ['autonomy', 'competence', 'relatedness']}, {'three needs': ['take-awaysAutonomy', 'competence', 'relatedness']}]"
40,42,"[{'three dimensions of vision': ['spatial awareness', 'discriminating efficiency', 'visual endurance']}, {'three dimensions': ['spatial awareness', 'discriminating efficiency', 'visual endurance']}]"
41,43,"[{'three areas': ['the intrapersonal', 'the interpersonal', 'the social cultural functions of emotions']}, {'three areas of life': ['the intrapersonal', 'interpersonal', 'social']}]"
42,44,"[{'': ['adaptability', 'sensitivity', 'quality']}, {'three major types of temperament': ['easy', 'difficult', 'slow-to-warm-up']}, {'': ['assertiveness', 'persistence', 'decisiveness']}, {'three major types of temperament': ['adaptability', 'sensitivity', 'quality']}, {'': ['assertiveness', 'persistence', 'decisiveness']}, {'three major types of temperament': ['adaptability', 'sensitivity', 'quality']}, {'': ['assertiveness', 'persistence', 'decisiveness']}]"
43,45,"[{'three minds': ['the First Mind', 'Second Mind', 'Third Mind']}, {'three configurations of the mind': ['the First Mind', 'Second Mind', 'Third Mind']}, {'': ['Mind', 'identity', 'world']}]"
44,46,"[{'three psychological dynamics that': ['omnipotence', 'cultural numbness', 'justified neglect']}]"
45,47,"[{'': ['Bandura', 'psychologist', 'author']}, {'': ['Bandura', 'psychologist', 'author']}]"
46,48,"[{'': ['perception', 'depth', 'distance']}]"
47,49,"[{'': ['nature', 'duration', 'impact']}, {'': ['thrill', 'pleasure', 'excitement']}, {'': ['Though', 'serotonin', 'melatonin']}, {'': ['reflux', 'diarrhoea', 'constipation']}]"
48,50,"[{'three kinds': ['Emotional', 'Cognitive', 'Compassionate']}, {'three kinds': ['Emotional', 'Cognitive', 'Compassionate']}, {'three types of empathy': ['Cognitive', 'Emotional', 'Compassionate']}]"
49,51,"[{'': ['size', 'intensity', 'motion']}, {'': ['attitude', 'interest', 'preparatory']}]"
